#{"t_start": 1766985341.008241, "env_id": "BipedalWalker-v3"}
r,l,t
-95.417561,86,6.501127
-95.131863,129,7.786081
-102.13846,94,8.575902
-97.784469,106,9.506447
-154.44658,1142,28.79801
-117.832098,219,33.031437
-101.226692,110,35.031994
-103.176927,82,36.576243
-106.83452,142,39.22584
-102.353241,167,42.448855
-104.25102,84,44.008527
-142.920157,125,46.353966
-116.069687,45,47.188896
-110.393043,173,50.34428
-111.529533,1600,79.730104
-203.087926,1191,101.934665
-105.470503,96,103.744165
-105.701858,81,105.226257
-118.207395,65,106.417235
-123.377174,106,108.369258
-117.126722,68,109.614738
-124.510646,125,111.909066
-101.907275,104,113.919571
-119.999703,78,117.60996
-122.44589,117,120.973557
-123.493954,97,122.850142
-111.952567,623,155.99232
-122.703487,89,158.264806
-134.092472,93,160.331549
-99.306934,163,163.672493
-128.359841,80,165.253415
-122.360581,744,180.369236
-106.774783,95,182.369668
-97.614936,172,189.392928
-151.926492,602,218.552466
-92.50267,242,403.761212
-88.233133,452,419.238559
-97.204307,275,525.04294
-100.316137,457,533.614789
-102.550043,87,535.200695
-56.584582,496,544.621194
51.412211,1600,576.893416
-104.157445,41,577.751817
-108.303104,41,578.65476
-78.554734,181,582.392861
-108.039232,40,583.231932
-115.599361,59,585.213191
-105.84719,49,586.632809
-104.801345,48,587.756418
-101.827847,62,589.201775
-84.023623,208,593.961307
-100.225647,81,595.898813
-108.508989,462,606.690191
-74.8578,443,616.165843
122.129802,1600,651.601686
-59.526888,312,658.267526
148.682335,1600,693.756759
41.009439,561,709.944245
-12.632556,275,716.406716
335.991139,1600,997.408523
2.078216,465,1013.914608
-66.107184,242,1023.447756
95.894687,1252,1057.079299
-120.52645,90,1059.638007
-14.284248,580,1075.987632
-109.193936,43,1077.268166
-119.441686,69,1079.021301
276.688251,1600,1121.094211
-60.51462,438,1133.254006
-13.431079,538,1146.992573
-1.381887,1118,1176.277928
-47.110839,331,1185.088313
125.549095,1556,1232.245317
68.108381,1006,1251.812133
-58.941618,303,1257.028426
219.666142,1590,1574.345922
197.240764,1600,1615.702356
-114.40509,43,1616.976644
-72.872246,536,1633.460108
105.155539,1000,1665.446401
-86.63973,1600,1719.675348
-29.376534,1427,1761.193298
-54.138742,265,1769.390507
44.612673,519,1779.687175
52.428685,478,1788.644008
-91.458575,150,1791.382216
-17.644482,1110,1902.643502
-15.738691,393,1910.382886
364.702359,1600,1939.057065
406.719536,1335,1962.16859
105.827188,589,1973.078567
208.484691,1600,2004.094109
-115.57672,607,2015.62698
42.942593,604,2028.030003
-0.874541,533,2039.177567
225.742479,1600,2073.165744
-121.448226,460,2082.835762
